name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Room.Board,Books,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,state,degree_length,out_of_state_tuition
SUNY College at New Paltz,False,8399,3609,656,19,53,4658,1478,4240,550,85,15.3,8,6608,53,New York,4,18034.0
SUNY College at Plattsburgh,False,5549,3583,853,9,40,5004,475,4176,600,80,17.9,16,6174,65,New York,4,18259.0
SUNY College at Potsdam,False,3150,2289,650,16,51,3598,234,4660,500,71,15.1,17,6436,59,New York,4,18242.0
SUNY College at Purchase,False,2119,1264,390,5,33,2478,1441,4760,1125,80,14.9,8,8170,46,New York,4,18478.0
Susquehanna University,True,2096,1512,465,27,59,1442,166,4710,400,83,13.9,37,10554,90,Pennsylvania,4,47290.0
Sweet Briar College,True,462,402,146,36,68,527,41,6000,500,91,6.5,48,18953,61,Virginia,4,21000.0
Syracuse University,True,10477,7260,2442,28,67,10142,117,6870,635,73,11.3,13,14231,67,New York,4,51853.0
Talladega College,True,4414,1500,335,30,60,908,119,2964,1000,56,15.5,7,5970,46,Alabama,4,12510.0
Taylor University,True,1769,1092,437,41,80,1757,81,4000,450,60,14.2,32,8294,98,Indiana,4,34114.0
Texas Wesleyan University,True,592,501,279,19,44,1204,392,3484,600,80,14.5,10,7936,43,Texas,4,30300.0
The Citadel,False,1500,1242,611,12,36,2024,292,2439,400,95,17.1,17,7744,84,South Carolina,4,36761.0
Thiel College,True,1154,951,253,15,31,791,140,4958,700,68,11.6,16,9186,60,Pennsylvania,4,31700.0
Tiffin University,True,845,734,254,5,21,662,351,3800,600,59,19.0,40,5096,39,Ohio,4,25000.0
Transylvania University,True,759,729,244,57,81,867,51,4450,500,81,12.1,41,10219,70,Kentucky,4,38750.0
Tulane University,True,7033,5125,1223,47,75,4941,1534,5950,350,98,9.1,21,16920,74,Louisiana,4,54820.0
Tusculum College,True,626,372,145,12,34,983,40,3400,450,70,21.9,28,4933,52,Tennessee,4,24860.0
Tuskegee University,True,2267,1827,611,20,59,2825,144,3395,600,70,12.2,7,10872,65,Alabama,4,22170.0
University of California at Berkeley,False,19873,8252,3215,95,100,19532,2061,6246,636,93,15.8,10,13919,78,California,4,43176.0
University of Central Florida,False,6986,2959,1918,25,60,12330,7152,4234,700,80,22.2,9,6742,46,Florida,4,22467.0
University of Connecticut at Storrs,False,9735,7187,2064,23,63,12478,1660,5072,700,89,16.0,16,10178,71,Connecticut,4,38098.0
University of Detroit Mercy,True,927,731,415,24,50,2149,2217,3996,600,72,13.5,14,10891,51,Michigan,4,28000.0
University of Dubuque,True,576,558,137,11,39,662,131,3620,400,85,16.5,18,8767,45,Iowa,4,34110.0
University of Evansville,True,2096,1626,694,35,67,2551,407,4340,700,60,15.8,26,7780,77,Indiana,4,36416.0
University of Hartford,True,5081,4040,1194,11,26,3768,1415,6000,500,61,10.7,9,10625,66,Connecticut,4,40694.0
University of Illinois - Urbana,False,14939,11652,5705,52,88,25422,911,4574,500,87,17.4,13,8559,81,Illinois,4,31664.0
University of Indianapolis,True,1487,1276,388,26,51,1417,1646,4080,525,55,11.1,23,6735,69,Indiana,4,29688.0
University of La Verne,True,1597,969,226,16,38,1431,1522,5050,630,66,14.1,23,10139,47,California,4,43050.0
University of Louisville,False,4777,3057,1823,16,33,9844,6198,3600,530,84,11.1,24,10207,31,Kentucky,4,27278.0
University of Maine at Machias,False,441,369,172,17,45,633,317,3680,600,46,15.1,4,5935,64,Maine,4,15100.0
University of Maine at Presque Isle,False,461,381,235,10,40,974,503,3630,400,67,15.2,11,6408,35,Maine,4,12235.0
University of Massachusetts at Amherst,False,14438,12414,3816,12,39,16282,1940,3897,500,88,16.7,15,10276,68,Massachusetts,4,34755.0
University of Massachusetts at Dartmouth,False,3347,2597,1006,10,37,4664,1630,4500,500,74,15.0,20,7462,56,Massachusetts,4,29141.0
University of Minnesota at Duluth,False,4192,3126,1656,15,45,5887,1254,3474,753,79,19.0,11,6393,53,Minnesota,4,18485.0
University of Minnesota at Morris,False,1458,874,588,56,86,1846,154,3180,600,74,14.6,16,6716,51,Minnesota,4,15342.0
University of Minnesota Twin Cities,False,11054,6397,3524,26,55,16502,21836,3744,714,88,12.2,37,16122,45,Minnesota,4,30371.0
University of Missouri at Columbia,False,6574,4637,2940,32,62,14782,1583,3485,600,87,12.7,15,10145,58,Missouri,4,29025.0
University of Missouri at Saint Louis,False,1618,1141,479,18,54,4793,4552,3964,500,71,13.4,15,6433,48,Missouri,4,27900.0
University of Mobile,True,452,331,269,17,54,1417,301,3680,550,59,16.6,4,5412,52,Alabama,4,22820.0
University of Montevallo,False,1351,892,570,18,78,2385,331,3030,300,72,18.9,8,5883,51,Alabama,4,25780.0
University of Nebraska at Lincoln,False,6277,6003,3526,33,63,16454,3171,3145,500,86,15.1,48,6813,53,Nebraska,4,24949.0
University of North Carolina at Asheville,False,1757,979,394,32,74,2033,1078,3420,600,77,13.0,11,7011,37,North Carolina,4,23868.0
University of North Carolina at Chapel Hill,False,14596,5985,3331,75,92,14609,1100,4200,550,88,8.9,23,15893,83,North Carolina,4,35170.0
University of North Carolina at Charlotte,False,5803,4441,1730,19,62,10099,3255,3109,600,79,16.8,7,6227,62,North Carolina,4,20478.0
University of North Carolina at Wilmington,False,6071,3856,1449,15,67,6635,1145,3680,500,82,19.1,15,6005,55,North Carolina,4,21065.0
University of North Florida,False,1800,1253,560,44,85,3876,3588,4360,600,82,17.8,14,6104,47,Florida,4,20112.0
University of Northern Colorado,False,5530,4007,1697,12,37,8463,1498,4128,540,75,21.5,8,6309,40,Colorado,4,21474.0
University of Northern Iowa,False,4144,3379,1853,18,52,10135,1448,2930,595,78,16.3,26,6333,77,Iowa,4,19480.0
University of Pittsburgh-Main Campus,False,8586,6383,2503,25,59,13138,4289,4560,400,93,7.8,10,13789,66,Pennsylvania,4,32052.0
University of Puget Sound,True,4044,2826,688,51,83,2738,138,4500,630,79,15.0,17,11217,63,Washington,4,49776.0
University of Rhode Island,False,9643,7751,1968,12,40,8894,2456,5558,500,84,16.6,7,9158,63,Rhode Island,4,30862.0
University of Richmond,True,5892,2718,756,46,72,2854,594,3285,700,75,11.7,32,11984,100,Virginia,4,52610.0
University of San Diego,True,3934,2735,886,40,70,3698,217,5940,630,93,15.6,13,10813,66,California,4,49358.0
University of Sci. and Arts of Oklahoma,False,285,280,208,21,43,1140,473,1920,600,67,23.6,3,3864,43,Oklahoma,4,17565.0
University of Scranton,True,4471,2942,910,29,60,3674,493,5986,650,83,14.1,41,9131,92,Pennsylvania,4,44532.0
University of South Carolina at Columbia,False,7693,5815,2328,30,66,12594,3661,3522,495,84,16.9,18,8246,63,South Carolina,4,33298.0
University of Southern Mississippi,False,2850,2044,1046,20,50,9260,1387,2470,500,78,18.7,23,5917,45,Mississippi,4,10734.0
University of Tennessee at Knoxville,False,7473,5372,3013,27,53,15749,3237,3262,750,86,16.5,22,8612,53,Tennessee,4,31196.0
University of Texas at Arlington,False,3281,2559,1448,19,43,10975,8431,2780,500,73,21.0,4,4696,29,Texas,4,25134.0
University of Texas at Austin,False,14752,9572,5329,48,85,30017,5189,3309,650,91,19.7,11,7837,65,Texas,4,37480.0
University of Texas at San Antonio,False,4217,3100,1686,17,46,9375,5457,5376,452,94,25.3,3,4329,50,Texas,4,24262.0
University of the Pacific,True,2459,1997,582,36,66,2664,299,5326,646,87,11.2,14,13706,65,California,4,48040.0
University of Tulsa,True,1712,1557,696,41,68,2936,433,4160,1200,94,11.5,10,11743,47,Oklahoma,4,41509.0
University of West Florida,False,1558,1254,472,20,57,3754,2477,3994,541,83,23.4,12,8488,53,Florida,4,18628.0
University of Wisconsin-Superior,False,910,910,342,14,53,1434,417,2780,550,75,15.2,15,6490,36,Wisconsin,4,15699.0
University of Wisconsin-Whitewater,False,4400,3719,1472,12,38,7804,1552,2500,300,90,23.1,16,5559,67,Wisconsin,4,16265.0
University of Wisconsin at Green Bay,False,2409,1939,759,17,50,3819,1347,2800,475,81,22.2,1,5968,46,Wisconsin,4,15728.0
University of Wisconsin at Madison,False,14901,10932,4631,36,80,23945,2200,4290,535,93,11.5,20,11006,72,Wisconsin,4,36805.0
University of Wisconsin at Milwaukee,False,5244,3782,1930,12,37,11561,7443,2964,570,79,15.9,8,8094,38,Wisconsin,4,22364.0
University of Wyoming,False,2029,1516,1073,23,46,7535,1488,3422,600,91,15.1,13,8745,45,Wyoming,4,17490.0
Upper Iowa University,True,663,452,192,10,35,1481,1160,3060,500,69,17.4,19,3733,78,Iowa,4,30450.0
Ursinus College,True,1399,1026,308,44,77,1131,17,5160,500,82,11.6,40,12082,79,Pennsylvania,4,52050.0
Ursuline College,True,325,260,86,21,47,699,717,4202,450,39,10.5,15,7164,68,Ohio,4,32390.0
Valley City State University,False,368,344,212,5,27,863,189,2570,600,39,14.9,25,4958,40,North Dakota,4,17166.0
Valparaiso University,True,2075,1727,520,49,81,2501,198,3260,500,87,14.2,23,9681,95,Indiana,4,40260.0
Vanderbilt University,True,7791,4690,1499,71,92,5500,90,6525,630,93,5.8,26,23850,83,Tennessee,4,49816.0
Villanova University,True,7759,5588,1477,30,68,6362,1292,6507,400,89,13.4,24,10458,96,Pennsylvania,4,53308.0
Virginia Commonwealth University,False,4963,3497,1567,18,45,10262,5065,4182,500,81,8.7,11,11183,45,Virginia,4,35138.0
Voorhees College,True,1465,1006,188,10,30,703,20,2522,500,43,22.9,3,5861,58,South Carolina,4,12630.0
Wabash College,True,800,623,256,41,76,801,5,4195,500,78,9.9,55,14904,72,Indiana,4,43450.0
Wagner College,True,1416,1015,417,10,44,1324,117,5800,585,67,13.2,23,9006,75,New York,4,47090.0
Wake Forest University,True,5661,2392,903,75,88,3499,172,4360,500,95,4.3,37,41766,89,North Carolina,4,53322.0
Walsh University,True,1092,890,477,27,92,847,497,4180,500,42,11.3,33,5738,68,Ohio,4,29980.0
Warren Wilson College,True,440,311,112,25,49,466,7,3052,400,65,11.4,20,9430,63,North Carolina,4,36280.0
Wartburg College,True,1231,1074,345,34,66,1295,105,3610,400,66,12.4,37,7735,67,Iowa,4,41280.0
Washington State University,False,6540,5839,2440,31,70,14445,1344,4210,800,84,16.9,30,10912,56,Washington,4,26365.0
Wellesley College,True,2895,1249,579,80,96,2195,156,5995,500,94,10.6,51,21409,91,Massachusetts,4,53732.0
Wells College,True,318,240,130,40,85,416,19,5550,600,93,8.3,42,13935,69,New York,4,40700.0
Wentworth Institute of Technology,True,1480,1257,452,6,25,2961,572,6050,850,10,15.4,8,17858,64,Massachusetts,4,33950.0
West Virginia Wesleyan College,True,1566,1400,483,28,55,1509,170,3775,450,58,16.4,42,8080,67,West Virginia,4,31640.0
Western Carolina University,False,3224,2519,1057,11,31,5000,706,2380,110,67,14.6,9,6554,55,North Carolina,4,8220.0
Western New England College,True,1650,1471,409,7,21,1803,1116,5500,498,74,15.4,15,8409,59,New Hampshire,4,37914.0
Westmont College,False,950,713,351,42,72,1276,9,5304,490,77,14.9,17,8837,87,California,4,45304.0
Whitman College,True,1861,998,359,45,77,1220,46,4900,750,80,10.5,51,13198,72,Washington,4,51764.0
Whittier College,True,1681,1069,344,35,63,1235,30,5699,500,84,13.6,29,11778,52,California,4,48086.0
Widener University,True,2139,1492,502,24,64,2186,2171,5370,500,88,12.6,19,9603,63,Pennsylvania,4,45948.0
Wilkes University,True,1631,1431,434,15,36,1803,603,5130,550,78,13.3,24,8543,67,Pennsylvania,4,36194.0
Willamette University,True,1658,1327,395,49,80,1595,159,4620,400,91,13.3,37,10779,68,Oregon,4,50074.0
William Jewell College,True,663,547,315,32,67,1279,75,2970,500,74,11.2,19,7885,59,Missouri,4,34400.0
William Woods University,True,469,435,227,17,39,851,120,4365,550,39,12.9,16,7438,52,Missouri,4,24110.0
Winthrop University,False,2320,1805,769,24,61,3395,670,3392,580,71,12.8,26,6729,59,South Carolina,4,29846.0
Wisconsin Lutheran College,True,152,128,75,17,41,282,22,3700,500,48,8.5,26,8960,50,Wisconsin,4,29725.0
Wittenberg University,True,1979,1739,575,42,68,1980,144,4404,400,82,12.8,29,10414,78,Ohio,4,39500.0
Wofford College,True,1501,935,273,51,83,1059,34,4150,605,91,15.3,42,7875,75,South Carolina,4,43845.0
Worcester Polytechnic Institute,True,2768,2314,682,49,86,2802,86,5370,530,92,15.2,34,10774,82,Massachusetts,4,50530.0
Xavier University of Louisiana,True,2097,1915,695,34,61,2793,166,4200,617,67,14.4,20,8323,49,Louisiana,4,24488.0
